dataset,model,mode,tail_it1_pct,tail_it2_pct,tail_it3_pct,tail_it4_pct,tail_it5_pct,head_it1_pct,head_it2_pct,head_it3_pct,head_it4_pct,head_it5_pct,overall_it1_pct,overall_it2_pct,overall_it3_pct,overall_it4_pct,overall_it5_pct,it1_tail_gap,it1_head_gap,it2_tail_gap,it2_head_gap,it3_tail_gap,it3_head_gap,it4_tail_gap,it4_head_gap,it5_tail_gap,it5_head_gap,overall_trend_pp,final_overall_pct
Hetionet,rotate,add,53.00,53.40,52.90,52.70,50.10,56.70,53.80,52.70,52.40,51.60,54.90,53.60,52.80,52.60,50.80,,,,,,,,,,,-4.10,50.80
Hetionet,rotpro,add,46.30,49.40,45.20,48.10,45.60,52.60,52.40,50.10,51.00,50.20,49.50,50.90,47.70,49.50,47.90,,,,,,,,,,,-1.60,47.90
Hetionet,toruse_eL2,add,49.50,49.90,48.80,47.20,46.60,51.40,48.50,49.00,49.30,49.20,50.50,49.20,48.90,48.30,47.90,,,,,,,,,,,-2.60,47.90
Hetionet,transe,add,59.20,61.20,62.90,61.30,63.50,52.10,50.20,49.60,50.00,51.30,55.60,55.70,56.30,55.60,57.40,,,,,,,,,,,1.80,57.40
Hetionet,tucker,add,49.70,49.70,47.40,44.70,45.60,47.70,47.60,48.90,47.40,48.40,48.70,48.70,48.20,46.10,47.00,,,,,,,,,,,-1.70,47.00
FB13,hake_both,replace,77.30,62.40,37.60,62.40,37.60,99.70,100.00,100.00,100.00,100.00,88.50,81.20,68.80,81.20,68.80,,,,,,,,,,,-19.70,68.80
FB15K,boxe,replace,52.10,44.60,58.00,44.60,58.00,54.80,55.90,55.60,55.90,55.60,53.50,50.20,56.80,50.20,56.80,,,,,,,,,,,3.30,56.80
FB15K,complex,replace,48.80,45.50,54.70,45.50,54.70,50.80,58.20,58.60,58.20,58.60,49.80,51.80,56.60,51.80,56.60,,,,,,,,,,,6.80,56.60
FB15K,hake_both,replace,56.30,45.40,54.60,45.40,54.60,72.70,73.60,75.20,73.60,75.20,64.50,59.50,64.90,59.50,64.90,,,,,,,,,,,0.40,64.90
FB15K,hole,replace,46.60,47.70,55.30,47.70,55.30,48.00,51.60,51.50,51.60,51.50,47.30,49.60,53.40,49.60,53.40,,,,,,,,,,,6.10,53.40
FB15K,quate,replace,48.10,47.00,55.90,47.00,55.90,49.50,56.70,56.80,56.70,56.80,48.80,51.80,56.30,51.80,56.30,,,,,,,,,,,7.50,56.30
FB15K,rotate,replace,44.70,47.80,53.70,47.80,53.70,48.80,43.80,45.30,43.80,45.30,46.70,45.80,49.50,45.80,49.50,,,,,,,,,,,2.80,49.50
FB15K,rotpro,replace,41.70,49.50,53.40,49.50,53.40,43.00,38.80,39.30,38.80,39.30,42.30,44.10,46.30,44.10,46.30,,,,,,,,,,,4.00,46.30
FB15K,toruse_eL2,replace,42.70,52.70,50.80,52.70,50.80,45.80,44.10,44.90,44.10,44.90,44.30,48.40,47.90,48.40,47.90,,,,,,,,,,,3.60,47.90
FB15K,transe,replace,48.00,46.00,55.70,46.00,55.70,51.60,51.30,51.60,51.30,51.60,49.80,48.60,53.70,48.60,53.70,,,,,,,,,,,3.90,53.70
FB15K,tucker,replace,76.80,35.20,65.50,35.20,65.50,80.40,85.60,85.40,85.60,85.40,78.60,60.40,75.50,60.40,75.50,,,,,,,,,,,-3.10,75.50
FB13,hole,replace,41.60,27.20,67.50,27.20,67.50,94.20,99.00,98.10,99.00,98.10,67.90,63.10,82.80,63.10,82.80,,,,,,,,,,,14.90,82.80
FB15K,boxe,add,47.50,45.20,44.40,42.30,42.60,51.00,50.00,49.20,49.20,49.00,49.20,47.60,46.80,45.70,45.80,,,,,,,,,,,-3.40,45.80
FB15K,complex,add,44.90,41.40,40.80,39.80,39.90,49.50,47.90,46.80,46.00,46.40,47.20,44.70,43.80,42.90,43.20,,,,,,,,,,,-4.00,43.20
FB15K,hake_both,add,54.20,51.00,49.00,47.50,46.00,71.40,64.00,62.00,59.10,57.00,62.80,57.50,55.50,53.30,51.50,,,,,,,,,,,-11.30,51.50
FB15K,hole,add,41.10,38.90,38.90,38.40,37.50,46.60,46.30,45.10,46.30,46.10,43.80,42.60,42.00,42.30,41.80,,,,,,,,,,,-2.00,41.80
FB15K,quate,add,43.60,41.60,41.00,40.20,39.30,48.40,47.50,47.40,46.90,46.20,46.00,44.50,44.20,43.60,42.80,,,,,,,,,,,-3.20,42.80
FB15K,rotate,add,41.40,39.70,38.80,38.10,37.90,47.50,46.70,45.80,46.10,45.40,44.40,43.20,42.30,42.10,41.70,,,,,,,,,,,-2.70,41.70
FB15K,rotpro,add,37.50,35.00,33.70,34.30,33.00,42.70,42.20,41.40,40.70,40.90,40.10,38.60,37.50,37.50,36.90,,,,,,,,,,,-3.20,36.90
FB15K,toruse_eL2,add,36.50,36.50,37.70,37.60,37.00,41.50,41.90,43.20,43.50,43.50,39.00,39.20,40.40,40.60,40.20,,,,,,,,,,,1.20,40.20
FB15K,transe,add,43.00,41.00,40.00,39.80,38.60,47.20,46.00,45.40,44.90,45.70,45.10,43.50,42.70,42.30,42.20,,,,,,,,,,,-2.90,42.20
FB15K,tucker,add,72.40,65.10,59.60,56.30,53.60,74.90,68.30,63.80,61.50,59.10,73.70,66.70,61.70,58.90,56.40,,,,,,,,,,,-17.30,56.40
FB13,quate,replace,30.60,31.30,68.20,31.30,68.20,68.80,65.00,63.60,65.00,63.60,49.70,48.20,65.90,48.20,65.90,,,,,,,,,,,16.20,65.90
FB15K237,boxe,replace,43.60,45.70,54.40,45.70,54.40,57.10,53.10,53.70,53.10,53.70,50.30,49.40,54.10,49.40,54.10,,,,,,,,,,,3.80,54.10
FB15K237,complex,replace,39.50,44.60,54.30,44.60,54.30,53.10,60.10,60.90,60.10,60.90,46.30,52.30,57.60,52.30,57.60,,,,,,,,,,,11.30,57.60
FB15K237,hake_both,replace,55.10,40.50,52.70,40.50,52.70,88.50,87.90,89.20,87.90,89.20,71.80,64.20,70.90,64.20,70.90,,,,,,,,,,,-0.90,70.90
FB15K237,hole,replace,40.50,42.30,52.40,42.30,52.40,56.50,59.90,59.80,59.90,59.80,48.50,51.10,56.10,51.10,56.10,,,,,,,,,,,7.60,56.10
FB15K237,quate,replace,40.30,44.60,53.20,44.60,53.20,58.50,60.60,60.90,60.60,60.90,49.40,52.60,57.10,52.60,57.10,,,,,,,,,,,7.70,57.10
FB15K237,rotate,replace,36.80,46.20,49.80,46.20,49.80,55.80,49.90,51.10,49.90,51.10,46.30,48.00,50.40,48.00,50.40,,,,,,,,,,,4.10,50.40
FB15K237,rotpro,replace,29.80,46.00,48.90,46.00,48.90,54.10,49.90,50.70,49.90,50.70,42.00,47.90,49.80,47.90,49.80,,,,,,,,,,,7.80,49.80
FB15K237,toruse_eL2,replace,29.70,55.40,42.90,55.40,42.90,49.40,46.50,49.80,46.50,49.80,39.50,50.90,46.30,50.90,46.30,,,,,,,,,,,6.80,46.30
FB15K237,transe,replace,44.70,46.20,56.90,46.20,56.90,49.80,51.40,51.10,51.40,51.10,47.30,48.80,54.00,48.80,54.00,,,,,,,,,,,6.70,54.00
FB15K237,tucker,replace,71.20,31.10,65.50,31.10,65.50,77.90,83.10,83.00,83.10,83.00,74.50,57.10,74.30,57.10,74.30,,,,,,,,,,,-0.20,74.30
FB13,rotate,replace,45.90,27.70,69.00,27.70,69.00,36.30,21.10,39.20,21.10,39.20,41.10,24.40,54.10,24.40,54.10,,,,,,,,,,,13.00,54.10
FB15K237,boxe,add,41.00,38.40,37.80,35.90,35.60,57.20,55.30,54.10,51.80,53.60,49.10,46.90,46.00,43.90,44.60,,,,,,,,,,,-4.50,44.60
FB15K237,complex,add,37.30,33.70,31.30,30.30,29.20,53.00,51.00,53.20,50.70,48.80,45.10,42.40,42.20,40.50,39.00,,,,,,,,,,,-6.10,39.00
FB15K237,hake_both,add,53.90,49.60,45.90,44.60,42.20,88.50,78.90,73.00,70.80,68.10,71.20,64.20,59.40,57.70,55.20,,,,,,,,,,,-16.00,55.20
FB15K237,hole,add,38.40,33.70,30.60,29.20,28.50,56.60,57.40,54.90,52.60,55.30,47.50,45.50,42.70,40.90,41.90,,,,,,,,,,,-5.60,41.90
FB15K237,quate,add,38.00,35.60,33.90,31.80,31.70,58.60,55.30,54.10,52.20,50.80,48.30,45.40,44.00,42.00,41.20,,,,,,,,,,,-7.10,41.20
FB15K237,rotate,add,34.60,32.10,31.30,30.20,28.40,55.90,55.10,54.90,55.30,54.00,45.30,43.60,43.10,42.80,41.20,,,,,,,,,,,-4.10,41.20
FB15K237,rotpro,add,28.30,26.50,25.40,24.30,23.90,54.60,52.50,49.80,50.00,52.90,41.50,39.50,37.60,37.10,38.40,,,,,,,,,,,-3.10,38.40
FB15K237,toruse_eL2,add,27.40,29.80,29.00,28.50,27.50,49.80,48.60,50.70,51.70,53.40,38.60,39.20,39.80,40.10,40.50,,,,,,,,,,,1.90,40.50
FB15K237,transe,add,41.00,39.20,37.40,37.40,35.40,49.60,49.80,52.20,52.50,47.90,45.30,44.50,44.80,44.90,41.70,,,,,,,,,,,-3.60,41.70
FB15K237,tucker,add,68.40,57.10,51.20,48.50,46.00,75.70,72.40,67.20,64.00,65.10,72.00,64.70,59.20,56.30,55.60,,,,,,,,,,,-16.40,55.60
FB13,rotpro,replace,4.70,42.70,56.80,42.70,56.80,4.80,51.00,55.80,51.00,55.80,4.70,46.80,56.30,46.80,56.30,,,,,,,,,,,51.60,56.30
NELL-995,boxe,replace,39.90,48.30,66.40,48.30,66.40,25.00,30.20,32.30,30.20,32.30,32.50,39.20,49.40,39.20,49.40,,,,,,,,,,,16.90,49.40
NELL-995,complex,replace,90.50,8.80,62.50,8.80,62.50,88.00,81.50,83.50,81.50,83.50,89.30,45.20,73.00,45.20,73.00,,,,,,,,,,,-16.30,73.00
NELL-995,hake_both,replace,58.00,40.50,56.60,40.50,56.60,84.80,90.80,92.20,90.80,92.20,71.40,65.60,74.40,65.60,74.40,,,,,,,,,,,3.00,74.40
NELL-995,hole,replace,45.70,29.10,60.80,29.10,60.80,86.90,90.70,93.20,90.70,93.20,66.30,59.90,77.00,59.90,77.00,,,,,,,,,,,10.70,77.00
NELL-995,quate,replace,48.90,42.10,53.30,42.10,53.30,55.80,79.10,84.70,79.10,84.70,52.30,60.60,69.00,60.60,69.00,,,,,,,,,,,16.70,69.00
NELL-995,rotate,replace,22.40,43.00,59.70,43.00,59.70,25.10,59.20,62.80,59.20,62.80,23.80,51.10,61.20,51.10,61.20,,,,,,,,,,,37.40,61.20
NELL-995,rotpro,replace,17.60,42.60,56.50,42.60,56.50,33.60,43.40,47.80,43.40,47.80,25.60,43.00,52.10,43.00,52.10,,,,,,,,,,,26.50,52.10
NELL-995,toruse_eL2,replace,19.90,48.80,60.80,48.80,60.80,27.60,18.00,18.90,18.00,18.90,23.80,33.40,39.90,33.40,39.90,,,,,,,,,,,16.10,39.90
NELL-995,transe,replace,16.30,50.60,56.80,50.60,56.80,26.00,18.40,19.20,18.40,19.20,21.10,34.50,38.00,34.50,38.00,,,,,,,,,,,16.90,38.00
NELL-995,tucker,replace,69.00,30.70,63.90,30.70,63.90,96.50,91.60,91.70,91.60,91.70,82.70,61.20,77.80,61.20,77.80,,,,,,,,,,,-4.90,77.80
FB13,toruse_eL2,replace,4.10,45.10,55.40,45.10,55.40,22.10,14.40,15.00,14.40,15.00,13.10,29.70,35.20,29.70,35.20,,,,,,,,,,,22.10,35.20
NELL-995,boxe,add,39.10,34.40,33.30,32.30,29.30,25.00,30.20,23.30,28.30,22.00,32.00,32.30,28.30,30.30,25.60,,,,,,,,,,,-6.40,25.60
NELL-995,complex,add,90.70,54.10,52.40,47.30,43.40,88.10,88.40,83.30,73.50,86.20,89.40,71.30,67.90,60.40,64.80,,,,,,,,,,,-24.60,64.80
